Ticker;Exchange;DD_Medio;Max_DD;Durata_Anni;CAGR;Prezzo;POC1;POC2;POC3;Sopra_3POC;Body_D%;Body_D_Flag;Body_W%;Body_W_Flag;Link_TV_W;Market_Cap
NVDA;NASDAQ;-39,098;-89,722;28;37,074;225,32;2,45;229,39;2,45;NO;81,4;YES;68,1;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3ANVDA&interval=W;5457368842240,0
GOOG;NASDAQ;-20,61;-43,602;13;24,386;393,32;28,15;392,63;28,15;YES;53,0;NO;68,2;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3AGOOG&interval=W;4765246291968,0
AAPL;NASDAQ;-33,649;-80,581;46;18,626;300,23;3,14;296,59;3,14;YES;31,8;NO;68,7;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3AAAPL&interval=W;4409585041408,0
MSFT;NASDAQ;-23,142;-64,397;41;23,183;421,92;28,42;402,62;28,42;YES;45,2;NO;15,7;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3AMSFT&interval=W;3134205460480,0
AMZN;NASDAQ;-32,09;-83,007;30;31,314;264,14;2,91;270,38;2,91;NO;46,5;NO;39,8;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3AAMZN&interval=W;2841383010304,0
AVGO;NASDAQ;-23,817;-48,3;18;39,4;425,19;5,93;419,69;5,93;YES;86,1;YES;37,6;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3AAVGO&interval=W;2013133668352,0
META;NASDAQ;-28,21;-73,737;15;21,954;614,23;25,47;663,89;25,5;NO;27,8;NO;6,3;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3AMETA&interval=W;1559175626752,0
TSLA;NASDAQ;-37,961;-72,72;17;42,115;422,24;16,01;401,55;16,24;YES;29,5;NO;80,8;YES;https://www.tradingview.com/chart/?symbol=NASDAQ%3ATSLA&interval=W;1585816797184,0
WMT;NASDAQ;-20,906;-62,816;55;17,921;131,45;17,87;124,99;17,87;YES;57,6;NO;0,6;NO;https://www.tradingview.com/chart/?symbol=NASDAQ%3AWMT&interval=W;1047786684416,0
LLY;NYSE;-22,079;-47,691;57;11,102;1004,92;58,62;1044,29;59,79;NO;48,7;NO;23,6;NO;https://www.tradingview.com/chart/?symbol=NYSE%3ALLY&interval=W;896128712704,0
